EMSR,AOI,folderType,folderPath,activationDate,suggested_startDate,suggested_endDate
EMSR592,AOI02,optimal,dataOptimal/,2022-07-12T14:00:00.000,2022-07-12T14:00:00Z,2022-08-11T14:00:00Z
EMSR593,AOI01,optimal,dataOptimal/,2022-07-15T14:00:00.000,2022-07-15T14:00:00Z,2022-08-14T14:00:00Z
EMSR594,AOI01,optimal,dataOptimal/,2022-07-16T09:00:00.000,2022-07-16T09:00:00Z,2022-08-15T09:00:00Z
EMSR596,AOI01,optimal,dataOptimal/,2022-07-17T17:00:00.000,2022-07-17T17:00:00Z,2022-08-16T17:00:00Z
EMSR597,AOI01,optimal,dataOptimal/,2022-07-18T12:30:00.000,2022-07-18T12:30:00Z,2022-08-17T12:30:00Z
EMSR598,AOI01,optimal,dataOptimal/,2022-07-20T02:30:00.000,2022-07-20T02:30:00Z,2022-08-19T02:30:00Z
EMSR599,AOI01,optimal,dataOptimal/,2022-07-14T19:00:00.000,2022-07-14T19:00:00Z,2022-08-13T19:00:00Z
EMSR599,AOI02,optimal,dataOptimal/,2022-07-14T19:00:00.000,2022-07-14T19:00:00Z,2022-08-13T19:00:00Z
EMSR600,AOI01,optimal,dataOptimal/,2022-07-18T12:00:00.000,2022-07-18T12:00:00Z,2022-09-16T12:00:00Z
EMSR601,AOI01,optimal,dataOptimal/,2022-07-19T09:00:00.000,2022-07-19T09:00:00Z,2022-08-18T09:00:00Z
EMSR603,AOI01,optimal,dataOptimal/,2022-07-15T12:00:00.000,2022-07-15T12:00:00Z,2022-08-14T12:00:00Z
EMSR606,AOI01,optimal,dataOptimal/,2022-07-21T00:00:00.000,2022-07-21T00:00:00Z,2022-08-20T00:00:00Z
EMSR607,AOI01,optimal,dataOptimal/,2022-07-23T07:00:00.000,2022-07-23T07:00:00Z,2022-08-22T07:00:00Z
EMSR608,AOI01,optimal,dataOptimal/,2022-07-24T12:30:00.000,2022-07-24T12:30:00Z,2022-08-23T12:30:00Z
EMSR609,AOI01,optimal,dataOptimal/,2022-07-25T13:30:00.000,2022-07-25T13:30:00Z,2022-08-24T13:30:00Z
EMSR610,AOI01,optimal,dataOptimal/,2022-08-11T00:00:00.000,2022-08-11T00:00:00Z,2022-09-30T00:00:00Z
EMSR611,AOI01,optimal,dataOptimal/,2022-07-25T00:00:00.000,2022-07-25T00:00:00Z,2022-08-24T00:00:00Z
EMSR613,AOI01,subOptimal_cloudyClean,dataSuboptimal/cloudyClean/,2022-07-28T10:30:00.000,2022-07-28T10:30:00Z,2022-10-15T10:30:00Z
